Question;Réponse 1;Réponse 2;Réponse 1.1 valeur;R 1.1;Réponse 2.1 valeur;R 2.1;Réponse 1.2 valeur;R 1.2;Réponse 2.2 valeur;R 2.2;ILLU GAUCHE;PRIO;ILLU DROITE;PRIO;Question (ENGLISH);Réponse 1 (ENGLISH);Réponse 2 (ENGLISH);;;
Parfois, la violence est la meilleure solution;Oui;Non;morale;-10;morale;10;justice;10;justice;-10;;;;;Sometimes, violence is the best solution;Yes ;No;;;
Qui gagne entre un bouledogue et un cheval;Le bouledog;Le cheval;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Who would win, a bulldog or a horse;A bulldog ;A Horse;;;
Toutes les addictions sont néfastes;Oui;Non;RapportASoi;-10;RapportASoi;10;sansCategorie;0;sansCategorie;0;;;;;All addictions are harmful;Yes ;No;;;
On naît tous avec un cerveau vierge;Oui;Non;natureHumaine;10;natureHumaine;-10;education;10;education;-10;;;;;We are all born with a blank-slate brain;Yes ;No;;;
Il peut être moral de censurer;Oui;Non;morale;10;morale;-10;sansCategorie;0;sansCategorie;0;;;;;Censorship can be moral;Yes ;No;;;
Sous une averse, on se prend plus de gouttes en courant ou en marchant;En courant;En marchant;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;In a rainstorm, do you get hit by more raindrops by running or walking;By running;By walking;;;
La routine te fait peur;Oui;Non;bonheur;-10;bonheur;10;tradiProgres;10;tradiProgres;-10;;;;;Does routine scare you;Yes ;No;;;
La discipline est plus utile que l'intelligence;Oui;Non;fermete;10;fermete;-10;sansCategorie;0;sansCategorie;0;;;;;Discipline is more useful than intelligence;Yes ;No;;;
Il vaut toujours mieux être seul que mal accompagné;Oui;Non;RapportASoi;10;RapportASoi;-10;sansCategorie;0;sansCategorie;0;;;;;It's always better to be alone than in bad company;Yes ;No;;;
Il existe des choses fondamentalement moches;Oui;Non;tradiProgres;-5;tradiProgres;5;sansCategorie;0;sansCategorie;0;;;;;Some things are fundamentally ugly;Yes ;No;;;
L'univers a une fin;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;The universe has an end;Yes ;No;;;
Est-ce que tu te sens toi-même;Oui;Non;RapportASoi;10;RapportASoi;-10;bonheur;10;bonheur;-10;;;;;Are you feeling yourself;Yes ;No;;;
L'humanité rentrera en contact avec d'autres formes de vie;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Humanity will come into contact with other forms of life;Yes ;No;;;
Tout le monde est capable de changer;Oui;Non;tradiProgres;10;tradiProgres;-10;deterministe;-10;deterministe;10;;;;;Everyone is capable of changing;Yes ;No;;;
L'État te protège;Oui;Non;fermete;10;fermete;-10;sansCategorie;0;sansCategorie;0;;;;;The government protects you;Yes ;No;;;
Pourrais-tu renoncer à tes valeurs pour sauver quelqu'un qui t'est cher;Oui;Non;morale;-10;morale;10;sansCategorie;0;sansCategorie;0;;;;;Could you give up your values to save someone you care about;Yes ;No;;;
Il y a forcément des pauvres et des riches dans un système fonctionnel ;Oui;Non;capitaliste;10;capitaliste;-10;fermete;10;fermete;-10;;;;;In a functional system, there are inevitably rich and poor people.;Yes ;No;;;
Si la technologie le permettait, tu aimerais être cryogénisé;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;If technology allowed it, would you like to be cryogenically frozen;Yes ;No;;;
Tu aimerais être immortel;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Would you like to be immortal;Yes ;No;;;
Le suicide est immoral;Oui;Non;morale;-10;morale;10;sansCategorie;0;sansCategorie;0;;;;;Suicide is immoral;Yes ;No;;;
Existe-t-il une personne vivante dont tu souhaites la mort;Oui;Non;justice;-10;bonheur;10;fermete;10;morale;10;;;;;Is there anyone alive whose death you wish for;Yes ;No;;;
Si c'était possible, tu aimerais acquérir tout le savoir du monde;Oui;Non;cartesien;10;sansCategorie;0;ego;10;sansCategorie;0;;;;;If it were possible, would you like to acquire all the knowledge in the world;Yes ;No;;;
Est-ce que le monde irait mieux si tout le monde était exactement comme toi;Oui;Non;RapportASoi;10;sansCategorie;0;ego;10;sansCategorie;0;;;;;Would the world be better if everyone were exactly like you;Yes ;No;;;
Tu préférerais ressembler à tout le monde ou être absolument différent de tout le monde;Ressembler à tout le monde;Être différent;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;To look like everyone else or to be completely different from everyone else;Look like everyone else ;Completly different from everyone else ;;;
Plutôt supprimer les livres ou films;Les livres;Les films;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;It's better to get rid of books or movies;Books;Movies;;;
Tout progrès est bon à prendre;Oui;Non;cartesien;10;cartesien;-10;tradiProgres;10;tradiProgres;-10;;;;;Any progress is good progress;Yes;No;;;
Est-ce que tu penses être suffisamment objectif à propos de toi;Oui;Non;ego;10;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Do you think you are objective enough about yourself;Yes;No;;;
Tu pourrais être heureux sans voyager;Oui;Non;rapportAuxAutres;-5;rapportAuxAutres;10;bonheur;10;bonheur;5;;;;;Could you be happy without traveling;Yes;No;;;
Tu penses que tes parents sont fiers de toi;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Do you think your parents are proud of you;Yes;No;;;
Tes meilleures années sont derrière toi;Oui;Non;bonheur;-10;bonheur;10;tradiProgres;-10;tradiProgres;10;;;;;Your best years are behind you;Yes;No;;;
Le regard des autres te préoccupe;Oui;Non;RapportASoi;-5;RapportASoi;10;sansCategorie;0;sansCategorie;0;;;;;You're worried about what others think of you;Yes;No;;;
Si une chose est populaire, ça veut dire qu'elle est bien;Oui;Non;art;-5;art;10;sansCategorie;0;sansCategorie;0;;;;;If something is popular, it means it's good;Yes;No;;;
Voyager dans le passé ou dans le futur;Passé;Futur;tradiProgres;-10;tradiProgres;10;sansCategorie;0;sansCategorie;0;;;;;Traveling to the past or the future;Past;Future;;;
Tu es plus fasciné par l'infiniment petit ou l'infiniment grand;Infiniment petit;Infiniment grand;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;CELLULE;1;;;Are you more fascinated by the infinitely small or the infinitely large;Infinitely small;Infinitely large;;;
Est-ce que tu as un ou plusieurs secrets que tu n'as jamais dit à personne;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Do you have one or more secrets you've never told anyone;Yes ;No;;;
On a moins de problèmes quand on est enfant;Oui;Non;bonheur;-10;independance;10;sansCategorie;0;sansCategorie;0;;;;;We have fewer problems when we're children;Yes ;No;;;
Est-ce que tu te parles tout.e seul.e à voix haute;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Do you talk to yourself out loud;Yes ;No;;;
Qu'est-ce qui est une plus grosse 'tromperie' : une connexion émotionnelle ou une aventure physique;Émotionnelle;Physique;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Which is a bigger form of 'infidelity': an emotional connection or a physical affair?;Emotional connection ;Physical affair;;;
Est-ce que tu t'ennuies facilement;Oui;Non;independance;-10;independance;10;bonheur;-5;bonheur;10;;;;;Do you get bored easily;Yes;No;;;
Tu as déjà trahi quelqu'un d'important pour toi;Oui;Non;rapportAuxAutres;-10;rapportAuxAutres;10;sansCategorie;0;sansCategorie;0;;;;;Have you ever betrayed someone important to you;Yes;No;;;
Tu penses te sentir plus souvent coupable que les autres;Oui;Non;ego;10;ego;-10;RapportASoi;-10;RapportASoi;10;;;;;Do you feel more guilty than others?;Yes;No;;;
Une bonne hygiène de vie est nécessaire au bonheur;Oui;Non;fermete;10;fermete;-10;bonheur;10;bonheur;-10;;;;;A healthy lifestyle is necessary for happiness;Yes;No;;;
Toute inégalité est injuste;Oui;Non;egaliteEquite;-10;egaliteEquite;10;justice;-10;justice;10;;;;;All inequality is unfair;Yes;No;;;
Selon toi, il y a plus d'astres dans la galaxie ou de grains de sable sur terre;Galaxie;Sable;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;In your opinion, are there more stars in the galaxy or more grains of sand on Earth;More stars ;More grains of sand;;;
Il faut aider les personnes qui le souhaitent à mourir;Oui;Non;justice;10;justice;-10;morale;10;morale;-10;;;;;We should help people who wish to die;Yes;No;;;
On est jamais mieux servi que par soi-même;Oui;Non;independance;10;independance;-5;ego;10;ego;-5;;;;;You are never better served than by yourself;Yes;No;;;
Pour prendre une décision, tu as tendance à suivre ton coeur ou à suivre ta tête;Ton coeur;Ta tête;sansCategorie;0;cartesien;10;sansCategorie;0;sansCategorie;0;ESTOMAC;1;;;When making a decision, do you tend to follow your heart or your head;Your heart;Your head;;;
Tu préfères mourir brûlé.e ou en te noyant;Brulé.e;Noyade;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;To die by burning or drowning;By burning ;By drowning;;;
Tu aimerais vivre sans aucune responsabilité;Oui;Non;bonheur;10;bonheur;-10;independance;10;independance;-10;;;;;Would you like to live without any responsibilities;Yes;No;;;
Est-ce que tu aimes les enfants;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Do you like children;Yes;No;;;
Le progrès scientifique est la boussole de l'humanité;Oui;Non;cartesien;10;cartesien;-10;tradiProgres;-10;tradiProgres;10;;;;;Scientific progress is humanity's compass;Yes;No;;;
Tout le monde mérite une deuxième chance;Oui;Non;justice;10;justice;-10;fermete;-10;fermete;10;;;;;Everyone deserves a second chance;Yes;No;;;
Tu pourrais tenir plus longtemps que la moyenne face à la torture;Oui;Non;ego;10;ego;-5;sansCategorie;0;sansCategorie;0;;;;;Could you endure torture longer than average;Yes;No;;;
Il existe un contexte dans lequel tu pourrais tuer quelqu'un;Oui;Non;morale;-10;morale;10;justice;-10;justice;10;;;;;Is there a context in which you could kill someone;Yes;No;;;
Se remettre avec un.e ex peut être une bonne idée;Oui;Non;tradiProgres;-10;tradiProgres;10;sansCategorie;0;sansCategorie;0;;;;;Getting back together with an ex can be a good idea;Yes;No;;;
Tu es pessimiste ou optimiste;Pessimiste;Optimiste;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Are you pessimistic or optimistic;Pessimistic;Optimistic;;;
Il est plus important que chacun parte avec les mêmes chances que de garantir que tous arrivent au même niveau;Oui;Non;egaliteEquite;-10;egaliteEquite;10;sansCategorie;0;sansCategorie;0;;;;;It is more important for everyone to start out on an equal footing than to ensure that everyone reaches the same level;Yes ;No;;;
Les politiques de discrimination positive sont nécessaires pour rétablir un équilibre;Oui;Non;egaliteEquite;10;egaliteEquite;-10;tradiProgres;-10;tradiProgres;10;;;;;Affirmative action policies are necessary to restore balance;Yes ;No;;;
L'État devrait intervenir pour réduire les écarts de richesse, même si cela freine certains méritants;Oui;Non;roleEtat;10;roleEtat;-10;egaliteEquite;10;egaliteEquite;-10;;;;;The government should take action to reduce wealth disparities, even if that slows down some deserving individuals;Yes ;No;;;
Il est facile de trancher ce qui est de la responsabilité de l'enseignant et ce qui est de la responsabilité des parents;Oui;Non;roleEtat;10;roleEtat;-10;sansCategorie;0;sansCategorie;0;;;;;It is easy to distinguish between what is the teacher's responsibility and what is the parents' responsibility;Yes ;No;;;
Tu préfères aider personnellement un proche dans le besoin plutôt que de financer un système qui aide des inconnus.;Oui;Non;rapportAuxAutres;-10;rapportAuxAutres;10;roleEtat;-10;roleEtat;10;;;;;You'd rather personally help a loved one in need than fund a system that helps strangers.;Yes ;No;;;
La sélection par tirage au sort est plus juste que la sélection sur dossier pour la fac;Oui;Non;egaliteEquite;-10;egaliteEquite;10;sansCategorie;0;sansCategorie;0;;;;;Selection by lottery is fairer than selection based on application materials for college;Yes ;No;;;
Un revenu universel permettrait une forme d’égalité réelle plus juste que la simple égalité devant la loi;Oui;Non;justice;10;justice;-10;roleEtat;10;roleEtat;-10;;;;;A universal basic income would enable a form of real equality that is fairer than mere equality before the law;Yes ;No;;;
Garantir l'égalité des chances est possible;Oui;Non;egaliteEquite;10;sansCategorie;0;cartesien;-5;cartesien;5;;;;;Ensuring equal opportunities is possible;Yes ;No;;;
Des compétitions sportives où le dopage serait autorisé seraient intéressantes ;Oui;Non;egaliteEquite;5;egaliteEquite;-5;sansCategorie;0;sansCategorie;0;;;;;Would sports competitions where doping were allowed be interesting;Yes ;No;;;
Tu préfères savoir comment tu vas mourir ou savoir quand tu vas mourir;Comment;Quand;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;To know how you will die or when you will die;How;When;;;
Un bébé pleure toujours pour une raison particulière;Oui;Non;education;10;education;-10;sansCategorie;0;sansCategorie;0;;;;;A baby always cries for a particular reason;Yes;No;;;
La personnalité d'un adulte est la conséquence de ses premières années de vie;Oui;Non;education;10;education;-10;deterministe;10;deterministe;-10;;;;;An adult's personality is the consequence of their early years;Yes;No;;;
Les professeurs sont légitimes à enseigner la morale;Oui;Non;sansCategorie;0;sansCategorie;0;roleEtat;10;roleEtat;-10;;;;;Teachers are entitled to teach morality;Yes;No;;;
Il est parfois bon de mentir à un enfant pour le préserver;Oui;Non;education;-10;education;10;morale;10;morale;-10;;;;;Sometimes it is good to lie to a child to protect them;Yes;No;;;
En lui présentant les choses de la bonne manière, un enfant peut tout comprendre;Oui;Non;education;10;education;-10;sansCategorie;0;sansCategorie;0;;;;;By presenting things in the right way, a child can understand anything;Yes;No;;;
Les enfants sont plus honnêtes que les adultes;Oui;Non;sansCategorie;0;sansCategorie;0;natureHumaine;10;natureHumaine;-10;;;;;Children are more honest than adults;Yes;No;;;
Il faudrait interdire à certaines personnes d’avoir des enfants;Oui;Non;fermete;10;fermete;-10;morale;10;morale;-10;;;;;Certain people should be forbidden from having children;Yes;No;;;
Un enfant est capable de savoir ce qui est bon pour lui;Oui;Non;education;10;education;-10;natureHumaine;10;natureHumaine;-10;;;;;A child is capable of knowing what is good for them;Yes;No;;;
L'école sert à apprendre son rôle de citoyen;Oui;Non;roleEtat;10;roleEtat;-10;roleCitoyen;10;roleCitoyen;-10;;;;;School exists to teach people their role as citizens;Yes;No;;;
L'école sert à découvrir sa passion;Oui;Non;roleEtat;10;roleEtat;-10;sansCategorie;0;sansCategorie;0;;;;;School exists to help people discover their passion;Yes;No;;;
Certains enfants ne sont pas faits pour l'école;Oui;Non;education;10;education;-10;tradiProgres;-10;tradiProgres;10;;;;;Some children are not suited to school;Yes;No;;;
Tous les enfants doivent suivre le même programme scolaire jusqu'à un certain âge;Oui;Non;egaliteEquite;-10;egaliteEquite;10;roleEtat;10;roleEtat;-10;;;;;All children should follow the same school curriculum up to a certain age;Yes;No;;;
Les enfants qui font un blocage sur des matières scolaires ont eu de mauvais professeurs;Oui;Non;natureHumaine;10;natureHumaine;-10;egaliteEquite;-10;egaliteEquite;10;;;;;Children who struggle with school subjects have had bad teachers;Yes;No;;;
La punition est parfois nécessaire pour éduquer un enfant;Oui;Non;education;-10;education;10;fermete;10;fermete;-10;;;;;Punishment is sometimes necessary to educate a child;Yes;No;;;
Tout enfant a été soit harceleur soit harcelé;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Every child has either been a bully or been bullied;Yes;No;;;
Il faudrait revoir les programmes scolaires tous les ans;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;School curricula should be reviewed every year;Yes;No;;;
Les programmes scolaires servent à cristalliser et transmettre les connaissances les plus fondamentales d'une société;Oui;Non;roleCitoyen;10;roleCitoyen;-10;roleEtat;10;roleEtat;-10;;;;;School curricula serve to crystallize and transmit a society's most fundamental knowledge;Yes;No;;;
Tu aurais ton BAC si tu le repassais aujourd'hui;Oui;Non;ego;10;ego;-10;sansCategorie;0;sansCategorie;0;;;;;Would you pass your high school diploma exam if you took it today?;Yes;No;;;
Les adolescents se spécialisent trop tôt;Oui;Non;roleCitoyen;-10;roleCitoyen;10;sansCategorie;0;sansCategorie;0;;;;;Teenagers specialize too early;Yes;No;;;
Ne pas avoir de passion est un désavantage en société;Oui;Non;roleCitoyen;10;roleCitoyen;-10;sansCategorie;0;sansCategorie;0;;;;;Not having a passion is a disadvantage in society;Yes;No;;;
C'est difficile de se faire des amis;Oui;Non;rapportAuxAutres;-10;rapportAuxAutres;10;sansCategorie;0;sansCategorie;0;;;;;It's difficult to make friends;Yes;No;;;
Les relations sociales sont complexes;Oui;Non;rapportAuxAutres;-5;rapportAuxAutres;10;sansCategorie;0;sansCategorie;0;;;;;Social relationships are complex;Yes;No;;;
Le hasard existe ;Oui;Non;sansCategorie;0;cartesien;10;sansCategorie;0;sansCategorie;0;;;;;Luck exists;Yes;No;;;
L'école sensibilise suffisamment à l'importance de la politique en démocratie;Oui;Non;sansCategorie;0;sansCategorie;0;roleCitoyen;5;roleCitoyen;10;;;;;School does enough to raise awareness of the importance of politics in a democracy;Yes;No;;;
Les jeunes devraient pouvoir voter plus tôt;Oui;Non;education;10;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Young people should be allowed to vote earlier;Yes;No;;;
Les jeunes devraient pouvoir voter plus tard;Oui;Non;education;-10;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Young people should be allowed to vote later;Yes;No;;;
Le retrait du droit de vote peut être une punition légitime;Oui;Non;fermete;10;fermete;-10;sansCategorie;0;sansCategorie;0;;;;;Removing the right to vote can be a legitimate punishment;Yes;No;;;
Les élus devraient avoir obligatoirement un casier judiciaire vierge;Oui;Non;justice;10;justice;-10;morale;10;morale;-10;;;;;Elected officials should be required to have a clean criminal record;Yes;No;;;
Seuls les crimes et non les délits devraient empêcher l'exercice de certains métiers;Oui;Non;justice;-10;justice;10;fermete;-10;fermete;10;;;;;Only crimes, not misdemeanors, should prevent someone from working in certain professions;Yes;No;;;
Au vu de l'urgence écologique, le nucléaire est la meilleure solution;Oui;Non;sansCategorie;0;sansCategorie;0;sansCategorie;0;sansCategorie;0;;;;;Given the ecological emergency, nuclear power is the best solution;Yes;No;;;
Si tous les métiers payaient autant, personne ne voudrait faire certains métiers;Oui;Non;egaliteEquite;10;egaliteEquite;-10;roleCitoyen;-10;roleCitoyen;10;;;;;If all jobs paid the same, no one would want to do certain jobs;Yes;No;;;
Les élites nous cachent des choses capitales;Oui;Non;roleEtat;-10;roleEtat;10;sansCategorie;0;sansCategorie;0;;;;;The elites are hiding crucial things from us;Yes;No;;;
Les relations internationales sont régies par la loi de la jungle;Oui;Non;natureHumaine;-10;natureHumaine;10;cartesien;10;cartesien;-10;;;;;International relations are governed by the law of the jungle;Yes;No;;;
Il est complètement naïf de croire en une paix mondiale;Oui;Non;cartesien;10;cartesien;-10;sansCategorie;0;sansCategorie;0;;;;;It is completely naive to believe in world peace;Yes;No;;;
La mondialisation agit plus au service de la paix que de la guerre;Oui;Non;capitaliste;10;capitaliste;-10;cartesien;10;cartesien;-10;;;;;Globalization contributes more to peace than to war;Yes;No;;;
